skill_id,skill_name,skill_category,job_count,pct_of_jobs,avg_salary_for_skill,you_have,status
24,sql,Programming,550,28.5,134334.0,Yes,✅ You Have
27,excel,Tools,544,28.2,126188.0,Yes,✅ You Have
4,reporting,BI_Analytics,464,24.0,133293.0,No,❌ Gap
7,communication,Soft_Skills,439,22.7,124113.0,Yes,✅ You Have
10,python,Programming,418,21.7,145505.0,Yes,✅ You Have
29,scala,Programming,305,15.8,152272.0,No,❌ Gap
12,machine learning,ML_AI,263,13.6,168165.0,Yes,✅ You Have
6,cross-functional,Soft_Skills,260,13.5,145132.0,No,❌ Gap
9,dashboard,BI_Analytics,257,13.3,131883.0,No,❌ Gap
37,etl,Data Engineering,230,11.9,135792.0,Yes,✅ You Have
39,data quality,Data_Analysis,221,11.5,135669.0,Yes,✅ You Have
1,recommendation,ML_AI,200,10.4,147957.0,No,❌ Gap
44,collaboration,Soft_Skills,198,10.3,145039.0,Yes,✅ You Have
34,aws,Cloud,186,9.6,145651.0,No,❌ Gap
19,data pipeline,Data Engineering,183,9.5,152318.0,Yes,✅ You Have
42,azure,Cloud,176,9.1,149266.0,No,❌ Gap
17,agile,Soft_Skills,171,8.9,135147.0,No,❌ Gap
23,business intelligence,BI_Analytics,160,8.3,138499.0,No,❌ Gap
3,data modeling,Data_Analysis,158,8.2,152521.0,No,❌ Gap
20,data warehouse,Data Engineering,151,7.8,145147.0,No,❌ Gap
40,spark,Data Engineering,146,7.6,136350.0,No,❌ Gap
25,power bi,Visualization,137,7.1,137363.0,Yes,✅ You Have
2,statistics,Data_Analysis,133,6.9,137699.0,No,❌ Gap
26,tableau,Visualization,130,6.7,135502.0,No,❌ Gap
45,java,Programming,125,6.5,132993.0,No,❌ Gap
11,nifi,Data Engineering,120,6.2,153474.0,No,❌ Gap
81,snowflake,Cloud,109,5.6,137143.0,No,❌ Gap
5,presentation,Soft_Skills,109,5.6,120044.0,No,❌ Gap
18,rust,Programming,103,5.3,133659.0,No,❌ Gap
36,oracle,Databases,102,5.3,126985.0,No,❌ Gap
41,databricks,Data Engineering,96,5.0,141755.0,No,❌ Gap
61,sql server,Databases,90,4.7,146940.0,No,❌ Gap
38,data lake,Data Engineering,83,4.3,163136.0,No,❌ Gap
8,go,Programming,66,3.4,138714.0,No,❌ Gap
70,ci/cd,Tools,59,3.1,190245.0,No,❌ Gap
49,pyspark,Data Engineering,57,3.0,136800.0,No,❌ Gap
87,segment,BI_Analytics,49,2.5,156544.0,No,❌ Gap
13,deep learning,ML_AI,48,2.5,211260.0,No,❌ Gap
93,linux,Tools,48,2.5,183625.0,No,❌ Gap
50,gcp,Cloud,47,2.4,168462.0,Yes,✅ You Have
78,postgres,Databases,47,2.4,205326.0,No,❌ Gap
33,problem solving,Soft_Skills,45,2.3,118233.0,No,❌ Gap
52,google cloud,Cloud,45,2.3,150895.0,Yes,✅ You Have
28,powerbi,Visualization,45,2.3,114701.0,No,❌ Gap
35,redshift,Cloud,44,2.3,238000.0,No,❌ Gap
59,javascript,Programming,44,2.3,142986.0,No,❌ Gap
15,nlp,ML_AI,41,2.1,155639.0,Yes,✅ You Have
54,shell,Programming,40,2.1,189252.0,No,❌ Gap
30,sas,Programming,39,2.0,102296.0,No,❌ Gap
83,kubernetes,Tools,38,2.0,153918.0,No,❌ Gap
48,airflow,Data Engineering,37,1.9,148848.0,No,❌ Gap
